title,author,full_author,full_title,url_html,url_text,url_zip,url_pdf,url_other
Richard Of Bordeaux,Gordon Daviot,,,http://gutenberg.net.au/ebooks09/0900341h.html,http://gutenberg.net.au/ebooks09/0900341.txt,,,
The Expensive Halo,Josephine Tey,,,http://gutenberg.net.au/ebooks09/0900331h.html,http://gutenberg.net.au/ebooks09/0900331.txt,,,
Birds Beasts and Flowers,D H Lawrence,,,,http://gutenberg.net.au/ebooks09/0900321.txt,,,
Twelve Short Stories,John Buchan,,,http://gutenberg.net.au/ebooks09/0900311h.html,http://gutenberg.net.au/ebooks09/0900311.txt,,,
The India-rubber Men,Edgar Wallace,,,http://gutenberg.net.au/ebooks09/0900301h.html,http://gutenberg.net.au/ebooks09/0900301.txt,,,
The Frightened Lady,Edgar Wallace,,,http://gutenberg.net.au/ebooks09/0900291h.html,http://gutenberg.net.au/ebooks09/0900291.txt,,,
My Career Goes Bung,Miles Franklin,,,http://gutenberg.net.au/ebooks09/0900281h.html,http://gutenberg.net.au/ebooks09/0900281.txt,,,
The Daughter of Time,Josephine Tey,,,http://gutenberg.net.au/ebooks09/0900271h.html,http://gutenberg.net.au/ebooks09/0900271.txt,,,
The Headless Horseman,Mayne Reid,,,http://gutenberg.net.au/ebooks09/0900261h.html,http://gutenberg.net.au/ebooks09/0900261.txt,,,
The Wades; a memorial,Walter N Wyeth,,"The Wades: Jonathan Wade, Deborah B L Wade; a memorial",http://gutenberg.net.au/ebooks09/0900251h.html,http://gutenberg.net.au/ebooks09/0900251.txt,,,
The Vintons and the Karens,Calista V Luther,,,http://gutenberg.net.au/ebooks09/0900241h.html,http://gutenberg.net.au/ebooks09/0900241.txt,,,
A Dictionary of Austral English,Edward E Morris,,,http://gutenberg.net.au/ebooks09/0900231h.html,http://gutenberg.net.au/ebooks09/0900231.txt,,,
Soo Thah,Alonzo Bunker,,Soo Thah: A Tale of the Making of the Karen Nation,http://gutenberg.net.au/ebooks09/0900221h.html,http://gutenberg.net.au/ebooks09/0900221.txt,,,
Tounghoo Women,Ellen B Mason,,,,http://gutenberg.net.au/ebooks09/0900211.txt,,,
A grammar of the Sgaw Karen,David Chandler Gilmore,,,,,,http://gutenberg.net.au/ebooks09/0900201p.pdf,
Voyage of Will Rogers to the South Pole,Spotswood,Christopher Spotwswood,,,http://gutenberg.net.au/ebooks09/0900191.txt,,,
The Fellowship of the Frog,Edgar Wallace,,,http://gutenberg.net.au/ebooks09/0900181h.html,http://gutenberg.net.au/ebooks09/0900181.txt,,,
The Battle of Mordialloc,Samuel Mullen,,,,http://gutenberg.net.au/ebooks09/0900171.txt,,,
Historical Sketch of the Two Synagogues,M Brodzky,Maurice Brodzky,Historical Sketch of the Two Melbourne Synagogues,,,,http://gutenberg.net.au/ebooks09/0900161p.pdf,
Mother India,Katherine Mayo,Norman Douglas,,http://gutenberg.net.au/ebooks03/0300811h.html | http://gutenberg.net.au/ebooks03/0300611h.html,,,,
Mrs Bindle,Herbert Jenkins,,,,http://gutenberg.net.au/ebooks09/0900151.txt,,,
Gentlemen at Gyang Gyang,Miles Franklin,,,http://gutenberg.net.au/ebooks09/0900141h.html,http://gutenberg.net.au/ebooks09/0900141.txt,,,
A Genius in the Family,Hiram Percy Maxim,,,,http://gutenberg.net.au/ebooks09/0900131.txt,,,
Observations on the Coasts,Matthew Flinders,,"Observations on the Coasts of Van Diemen's Land; on Bass's Strait, etc",http://gutenberg.net.au/ebooks09/0900121h.html,http://gutenberg.net.au/ebooks09/0900121.txt,,http://gutenberg.net.au/ebooks09/0900121p.pdf,
Fools' Harvest,Erle Cox,,,http://gutenberg.net.au/ebooks09/0900111h.html,http://gutenberg.net.au/ebooks09/0900111.txt,,,
The Bindles on the Rocks,Herbert Jenkins,,,http://gutenberg.net.au/ebooks09/0900101h.html,http://gutenberg.net.au/ebooks09/0900101.txt,,,
